"text","intent"
"dimana rumahmu","residence"
"dimana kediamanmu","residence"
"ceritakan tentang kotamu","residence"
"tempat tinggalmu","residence"
"apa kotamu","residence"
"kamu itu tepat sekali","right"
"kamu itu benar","right"
"kamu mengatakan yang sebenarnya","right"
"apakah kamu yakin sekarang","sure"
"apakah kamu yakin dengan ini","sure"
"bicara dengan saya","talktome"
"maukah kamu bicara dengan saya","talktome"
"mengobrol dengan saya","talktome"
"bisa mengobrol dengan saya","talktome"
"bisakah kamu bicara dengan saya","talktome"
"apakah kamu di sana","there"
"apakah kamu di sini","there"
"apakah kamu masih di sana","there"
"apakah kamu masih di sini","there"
"kamu masih di sana ?","there"
"kamu masih di sini ?","there"
"apakah kamu memiliki agama","religion"
"apa agamamu","religion"
"kamu masuk agama mana","religion"
"bagaimana cuaca hari ini","weather"
"bagaimana cuaca siang ini","weather"
"bagaimana cuaca sore ini","weather"
"bagaimana cuaca malam ini","weather"
"apakah cuaca sedang terik","weather"
"apakah cuaca sedang baik","weather"
"bagaimana prakiraan cuaca","weather"
"apa musik kesukaanmu","music"
"apa musik yang kau suka","music"
"apa itu musik pop","music"
"apa itu musik rock","music"
"apa itu musik indie","music"
"apa film yang sedang kamu tonton","movie"
"apa itu genre film","movie"
"berikan film rekomendasi","movie"
"saya ingin menonton film","movie"
